plot           , Pouteria torta , Stryphnodendron adstringens , Pouteria ramiflora , Psidium laruotteanum , Piptocarpha rotundifolia , Leptolobium dasycarpum , Diospyros hispida , Eremanthus glomerulatus , Palicourea rigida , Anadenanthera falcata , Handroanthus ochraceus , Kielmeyera coriacea , Annona crassiflora , Connarus suberosus , Ouratea spectabilis , Miconia albicans , Erythroxylum suberosum , Erythroxylum engleri , Eriotheca pubescens , Casearia sylvestris , Aspidosperma tomentosum , Ouratea hexasperma , Plathymenia reticulata , Eriotheca gracilipes , Myrcia bella , Dimorphandra mollis , Guapira noxia , Tabebuia aurea , Byrsonima coccolobifolia , Davilla elliptica , Erythroxylum tortuosum , Myrcia camapuanensis , Stryphnodendron rotundifolium , Himatanthus obovatus , Myrcia guianensis , Caryocar brasiliense , Kielmeyera grandiflora , Machaerium acutifolium , Hymenaea stigonocarpa , Qualea parviflora , Schefflera macrocarpa , Solanum , Cybistax antisyphilitica , Eugenia aurata , Eugenia punicifolia , Myrcia variabilis , Vochysia cinnamomea , Agonandra brasiliensis , Hancornia speciosa , Lafoensia pacari , Miconia ferruginata , Miconia ligustroides , Plenckia populnea , Asteraceae , Bowdichia virgilioides , Cipo escandente , Pterodon pubescens , Rourea induta , Schefflera vinosa
beta01burned   , 11             , 7                           , 11                 , 1                    , 2                        , 0                      , 1                 , 3                       , 0                 , 3                     , 5                      , 7                   , 1                  , 0                  , 2                   , 0                , 0                      , 0                    , 0                   , 0                   , 1                       , 0                  , 0                      , 1                    , 1            , 0                   , 1             , 1              , 0                        , 0                 , 0                      , 1                    , 0                             , 0                    , 0                 , 0                    , 0                      , 0                      , 0                     , 0                 , 0                     , 0       , 0                        , 0              , 0                   , 0                 , 0                   , 0                      , 0                  , 0                , 0                   , 0                    , 0                 , 0          , 0                      , 0               , 0                  , 0             , 0
beta01unburned , 6              , 3                           , 1                  , 1                    , 0                        , 1                      , 3                 , 1                       , 0                 , 11                    , 8                      , 9                   , 0                  , 0                  , 4                   , 0                , 2                      , 1                    , 0                   , 0                   , 4                       , 0                  , 0                      , 4                    , 0            , 0                   , 0             , 0              , 0                        , 0                 , 0                      , 0                    , 0                             , 0                    , 0                 , 0                    , 0                      , 0                      , 0                     , 0                 , 0                     , 0       , 0                        , 1              , 0                   , 0                 , 0                   , 0                      , 0                  , 0                , 0                   , 0                    , 0                 , 0          , 0                      , 0               , 0                  , 0             , 0
beta02burned   , 9              , 7                           , 11                 , 1                    , 0                        , 0                      , 2                 , 5                       , 0                 , 0                     , 2                      , 1                   , 3                  , 0                  , 13                  , 0                , 2                      , 0                    , 0                   , 0                   , 0                       , 1                  , 0                      , 0                    , 0            , 0                   , 0             , 0              , 2                        , 0                 , 0                      , 0                    , 0                             , 0                    , 0                 , 0                    , 0                      , 0                      , 0                     , 0                 , 0                     , 0       , 0                        , 0              , 0                   , 1                 , 0                   , 0                      , 0                  , 0                , 0                   , 0                    , 0                 , 0          , 0                      , 0               , 0                  , 0             , 0
beta02unburned , 7              , 4                           , 5                  , 4                    , 0                        , 0                      , 0                 , 5                       , 0                 , 1                     , 12                     , 3                   , 0                  , 0                  , 8                   , 0                , 0                      , 0                    , 0                   , 0                   , 2                       , 2                  , 0                      , 0                    , 2            , 0                   , 0             , 0              , 0                        , 0                 , 1                      , 0                    , 0                             , 0                    , 0                 , 0                    , 0                      , 0                      , 0                     , 0                 , 0                     , 1       , 0                        , 0              , 2                   , 0                 , 1                   , 0                      , 0                  , 0                , 0                   , 0                    , 0                 , 0          , 0                      , 0               , 0                  , 0             , 0
beta03burned   , 6              , 6                           , 12                 , 0                    , 0                        , 2                      , 0                 , 4                       , 1                 , 0                     , 3                      , 6                   , 1                  , 0                  , 8                   , 0                , 1                      , 0                    , 0                   , 0                   , 0                       , 5                  , 0                      , 0                    , 1            , 0                   , 0             , 0              , 2                        , 0                 , 0                      , 0                    , 0                             , 0                    , 0                 , 0                    , 0                      , 0                      , 0                     , 0                 , 0                     , 0       , 1                        , 0              , 0                   , 1                 , 0                   , 0                      , 0                  , 0                , 0                   , 0                    , 0                 , 0          , 0                      , 0               , 0                  , 0             , 0
beta03unburned , 3              , 3                           , 3                  , 3                    , 0                        , 0                      , 1                 , 2                       , 0                 , 0                     , 9                      , 7                   , 1                  , 0                  , 9                   , 1                , 2                      , 0                    , 0                   , 0                   , 1                       , 7                  , 0                      , 0                    , 0            , 0                   , 0             , 0              , 2                        , 0                 , 2                      , 0                    , 0                             , 0                    , 1                 , 0                    , 0                      , 0                      , 0                     , 0                 , 0                     , 0       , 0                        , 0              , 0                   , 1                 , 0                   , 1                      , 0                  , 0                , 0                   , 0                    , 0                 , 0          , 0                      , 0               , 1                  , 0             , 0
beta04burned   , 7              , 6                           , 3                  , 14                   , 6                        , 0                      , 1                 , 0                       , 4                 , 4                     , 0                      , 0                   , 2                  , 2                  , 0                   , 0                , 5                      , 2                    , 1                   , 2                   , 0                       , 0                  , 0                      , 0                    , 0            , 0                   , 0             , 0              , 0                        , 0                 , 0                      , 1                    , 0                             , 0                    , 0                 , 0                    , 0                      , 0                      , 0                     , 0                 , 0                     , 0       , 0                        , 0              , 0                   , 0                 , 0                   , 0                      , 0                  , 0                , 0                   , 0                    , 0                 , 0          , 0                      , 0               , 0                  , 0             , 0
beta04unburned , 9              , 2                           , 2                  , 19                   , 4                        , 2                      , 1                 , 0                       , 3                 , 2                     , 0                      , 0                   , 2                  , 2                  , 1                   , 2                , 1                      , 0                    , 0                   , 0                   , 2                       , 0                  , 1                      , 0                    , 0            , 0                   , 0             , 0              , 0                        , 0                 , 0                      , 1                    , 2                             , 0                    , 0                 , 0                    , 0                      , 0                      , 0                     , 0                 , 2                     , 0       , 0                        , 0              , 0                   , 0                 , 0                   , 0                      , 0                  , 0                , 0                   , 0                    , 0                 , 0          , 0                      , 0               , 0                  , 0             , 0
beta05burned   , 9              , 7                           , 5                  , 8                    , 10                       , 0                      , 2                 , 0                       , 6                 , 2                     , 1                      , 0                   , 5                  , 4                  , 0                   , 0                , 0                      , 0                    , 0                   , 0                   , 0                       , 0                  , 0                      , 0                    , 0            , 1                   , 0             , 0              , 0                        , 0                 , 0                      , 0                    , 0                             , 0                    , 0                 , 0                    , 0                      , 0                      , 0                     , 0                 , 0                     , 0       , 0                        , 0              , 0                   , 0                 , 0                   , 0                      , 0                  , 0                , 0                   , 0                    , 0                 , 0          , 0                      , 0               , 0                  , 0             , 0
beta05unburned , 6              , 7                           , 10                 , 10                   , 5                        , 4                      , 2                 , 3                       , 1                 , 3                     , 2                      , 0                   , 4                  , 1                  , 0                   , 0                , 0                      , 0                    , 0                   , 0                   , 0                       , 0                  , 0                      , 0                    , 0            , 0                   , 0             , 0              , 0                        , 0                 , 0                      , 0                    , 0                             , 1                    , 0                 , 0                    , 0                      , 0                      , 0                     , 0                 , 0                     , 0       , 0                        , 0              , 0                   , 0                 , 0                   , 0                      , 0                  , 0                , 0                   , 0                    , 0                 , 0          , 1                      , 0               , 0                  , 0             , 0
beta06burned   , 5              , 2                           , 18                 , 0                    , 10                       , 0                      , 1                 , 3                       , 5                 , 2                     , 3                      , 3                   , 2                  , 0                  , 1                   , 0                , 1                      , 0                    , 0                   , 0                   , 0                       , 0                  , 1                      , 1                    , 0            , 0                   , 0             , 0              , 2                        , 0                 , 0                      , 0                    , 0                             , 0                    , 0                 , 0                    , 0                      , 0                      , 0                     , 0                 , 0                     , 0       , 0                        , 0              , 0                   , 0                 , 0                   , 0                      , 0                  , 0                , 0                   , 0                    , 0                 , 0          , 0                      , 0               , 0                  , 0             , 0
beta06unburned , 5              , 5                           , 2                  , 3                    , 2                        , 2                      , 2                 , 2                       , 0                 , 0                     , 6                      , 10                  , 2                  , 4                  , 1                   , 1                , 5                      , 0                    , 1                   , 0                   , 0                       , 1                  , 0                      , 0                    , 2            , 0                   , 0             , 1              , 1                        , 0                 , 0                      , 0                    , 0                             , 0                    , 0                 , 0                    , 0                      , 0                      , 0                     , 0                 , 0                     , 0       , 0                        , 0              , 0                   , 0                 , 0                   , 0                      , 0                  , 0                , 2                   , 0                    , 0                 , 0          , 0                      , 0               , 0                  , 0             , 0
beta07burned   , 6              , 1                           , 10                 , 4                    , 5                        , 0                      , 0                 , 2                       , 1                 , 7                     , 0                      , 13                  , 2                  , 0                  , 4                   , 0                , 1                      , 1                    , 0                   , 0                   , 0                       , 0                  , 0                      , 0                    , 0            , 0                   , 0             , 0              , 1                        , 0                 , 0                      , 0                    , 0                             , 1                    , 0                 , 0                    , 0                      , 0                      , 0                     , 1                 , 0                     , 0       , 0                        , 0              , 0                   , 0                 , 0                   , 0                      , 0                  , 0                , 0                   , 0                    , 0                 , 0          , 0                      , 0               , 0                  , 0             , 0
beta07unburned , 3              , 8                           , 9                  , 1                    , 1                        , 1                      , 4                 , 10                      , 0                 , 4                     , 2                      , 4                   , 0                  , 0                  , 3                   , 0                , 1                      , 2                    , 0                   , 0                   , 0                       , 0                  , 0                      , 0                    , 0            , 0                   , 0             , 0              , 0                        , 1                 , 1                      , 3                    , 0                             , 0                    , 0                 , 0                    , 0                      , 0                      , 0                     , 0                 , 0                     , 0       , 0                        , 0              , 0                   , 0                 , 0                   , 1                      , 0                  , 0                , 0                   , 0                    , 0                 , 0          , 0                      , 1               , 0                  , 0             , 0
beta08burned   , 10             , 8                           , 16                 , 1                    , 1                        , 0                      , 0                 , 9                       , 3                 , 3                     , 0                      , 0                   , 3                  , 0                  , 0                   , 0                , 0                      , 0                    , 1                   , 0                   , 0                       , 0                  , 2                      , 0                    , 0            , 0                   , 0             , 0              , 0                        , 0                 , 0                      , 0                    , 0                             , 0                    , 1                 , 0                    , 0                      , 0                      , 0                     , 0                 , 0                     , 2       , 0                        , 0              , 0                   , 0                 , 0                   , 0                      , 0                  , 0                , 0                   , 0                    , 0                 , 0          , 0                      , 0               , 0                  , 0             , 0
beta08unburned , 6              , 1                           , 9                  , 1                    , 0                        , 0                      , 2                 , 23                      , 0                 , 2                     , 0                      , 1                   , 0                  , 8                  , 0                   , 0                , 0                      , 0                    , 1                   , 0                   , 0                       , 0                  , 1                      , 0                    , 0            , 0                   , 0             , 0              , 0                        , 0                 , 2                      , 0                    , 0                             , 1                    , 0                 , 0                    , 0                      , 0                      , 0                     , 1                 , 0                     , 1       , 0                        , 0              , 0                   , 0                 , 0                   , 0                      , 0                  , 0                , 0                   , 0                    , 0                 , 0          , 0                      , 0               , 0                  , 0             , 0
beta09burned   , 11             , 3                           , 9                  , 21                   , 3                        , 0                      , 1                 , 0                       , 2                 , 5                     , 1                      , 1                   , 0                  , 0                  , 0                   , 0                , 0                      , 0                    , 0                   , 0                   , 1                       , 0                  , 0                      , 0                    , 0            , 1                   , 0             , 0              , 0                        , 0                 , 0                      , 0                    , 0                             , 0                    , 0                 , 0                    , 0                      , 0                      , 0                     , 0                 , 0                     , 0       , 0                        , 0              , 1                   , 0                 , 0                   , 0                      , 0                  , 0                , 0                   , 0                    , 0                 , 0          , 0                      , 0               , 0                  , 0             , 0
beta09unburned , 7              , 0                           , 3                  , 9                    , 0                        , 0                      , 0                 , 2                       , 2                 , 4                     , 0                      , 0                   , 0                  , 0                  , 0                   , 23               , 2                      , 0                    , 0                   , 0                   , 2                       , 0                  , 0                      , 0                    , 0            , 0                   , 0             , 0              , 0                        , 0                 , 0                      , 0                    , 0                             , 0                    , 0                 , 2                    , 1                      , 0                      , 0                     , 1                 , 0                     , 0       , 0                        , 2              , 0                   , 0                 , 0                   , 0                      , 0                  , 0                , 0                   , 0                    , 0                 , 0          , 0                      , 0               , 0                  , 0             , 0
beta10burned   , 6              , 14                          , 4                  , 8                    , 3                        , 1                      , 0                 , 1                       , 7                 , 3                     , 0                      , 1                   , 1                  , 0                  , 0                   , 0                , 5                      , 3                    , 0                   , 0                   , 0                       , 0                  , 0                      , 0                    , 0            , 1                   , 0             , 0              , 0                        , 0                 , 0                      , 0                    , 0                             , 0                    , 0                 , 0                    , 0                      , 0                      , 0                     , 0                 , 1                     , 0       , 0                        , 0              , 0                   , 0                 , 0                   , 0                      , 1                  , 0                , 0                   , 0                    , 0                 , 0          , 0                      , 0               , 0                  , 0             , 0
beta10unburned , 13             , 6                           , 2                  , 17                   , 2                        , 2                      , 0                 , 5                       , 3                 , 3                     , 0                      , 0                   , 2                  , 0                  , 0                   , 2                , 0                      , 3                    , 0                   , 0                   , 0                       , 0                  , 0                      , 0                    , 0            , 0                   , 0             , 0              , 0                        , 0                 , 0                      , 0                    , 0                             , 0                    , 0                 , 0                    , 0                      , 0                      , 0                     , 0                 , 0                     , 0       , 0                        , 0              , 0                   , 0                 , 0                   , 0                      , 0                  , 0                , 0                   , 0                    , 0                 , 0          , 0                      , 0               , 0                  , 0             , 0
beta11burned   , 10             , 5                           , 6                  , 15                   , 0                        , 0                      , 0                 , 0                       , 8                 , 3                     , 1                      , 0                   , 5                  , 0                  , 0                   , 0                , 0                      , 0                    , 0                   , 0                   , 0                       , 0                  , 5                      , 0                    , 1            , 0                   , 0             , 0              , 0                        , 0                 , 0                      , 0                    , 0                             , 1                    , 0                 , 0                    , 0                      , 0                      , 0                     , 0                 , 0                     , 0       , 0                        , 0              , 0                   , 0                 , 0                   , 0                      , 0                  , 0                , 0                   , 0                    , 0                 , 0          , 0                      , 0               , 0                  , 0             , 0
beta11unburned , 10             , 14                          , 3                  , 15                   , 0                        , 0                      , 0                 , 2                       , 2                 , 1                     , 0                      , 1                   , 4                  , 3                  , 0                   , 0                , 0                      , 0                    , 0                   , 0                   , 0                       , 0                  , 1                      , 0                    , 0            , 2                   , 0             , 0              , 0                        , 0                 , 0                      , 0                    , 0                             , 0                    , 0                 , 1                    , 0                      , 0                      , 0                     , 0                 , 0                     , 0       , 0                        , 0              , 0                   , 0                 , 0                   , 0                      , 0                  , 0                , 0                   , 0                    , 1                 , 0          , 0                      , 0               , 0                  , 0             , 0
beta12burned   , 4              , 16                          , 3                  , 12                   , 2                        , 0                      , 0                 , 0                       , 14                , 1                     , 1                      , 0                   , 3                  , 0                  , 0                   , 0                , 1                      , 0                    , 0                   , 0                   , 0                       , 0                  , 1                      , 0                    , 0            , 0                   , 0             , 0              , 0                        , 0                 , 0                      , 0                    , 0                             , 1                    , 0                 , 0                    , 0                      , 0                      , 0                     , 0                 , 0                     , 0       , 0                        , 0              , 0                   , 0                 , 1                   , 0                      , 0                  , 0                , 0                   , 0                    , 0                 , 0          , 0                      , 0               , 0                  , 0             , 0
beta12unburned , 5              , 5                           , 2                  , 12                   , 9                        , 0                      , 3                 , 1                       , 2                 , 2                     , 4                      , 0                   , 4                  , 1                  , 0                   , 0                , 1                      , 0                    , 1                   , 2                   , 0                       , 0                  , 0                      , 0                    , 0            , 0                   , 1             , 1              , 0                        , 0                 , 0                      , 0                    , 0                             , 0                    , 0                 , 1                    , 0                      , 2                      , 0                     , 0                 , 0                     , 0       , 1                        , 0              , 0                   , 0                 , 0                   , 0                      , 0                  , 0                , 0                   , 0                    , 0                 , 0          , 0                      , 0               , 0                  , 0             , 0
beta13burned   , 8              , 1                           , 1                  , 2                    , 3                        , 15                     , 2                 , 0                       , 4                 , 1                     , 3                      , 2                   , 1                  , 3                  , 0                   , 0                , 3                      , 1                    , 0                   , 0                   , 0                       , 0                  , 0                      , 0                    , 2            , 0                   , 2             , 2              , 0                        , 0                 , 0                      , 0                    , 0                             , 1                    , 1                 , 0                    , 1                      , 0                      , 0                     , 0                 , 0                     , 0       , 0                        , 0              , 0                   , 0                 , 0                   , 0                      , 0                  , 0                , 0                   , 0                    , 0                 , 0          , 0                      , 0               , 0                  , 1             , 0
beta13unburned , 5              , 0                           , 8                  , 8                    , 3                        , 5                      , 6                 , 1                       , 4                 , 0                     , 7                      , 0                   , 1                  , 2                  , 0                   , 5                , 1                      , 1                    , 0                   , 0                   , 1                       , 0                  , 1                      , 0                    , 0            , 0                   , 0             , 0              , 0                        , 0                 , 0                      , 0                    , 0                             , 0                    , 0                 , 0                    , 0                      , 0                      , 0                     , 0                 , 0                     , 0       , 1                        , 0              , 0                   , 0                 , 0                   , 0                      , 0                  , 0                , 0                   , 0                    , 0                 , 0          , 0                      , 0               , 0                  , 0             , 0
beta14burned   , 11             , 9                           , 5                  , 2                    , 1                        , 1                      , 2                 , 5                       , 4                 , 0                     , 0                      , 1                   , 5                  , 0                  , 0                   , 0                , 2                      , 1                    , 0                   , 0                   , 0                       , 0                  , 0                      , 1                    , 3            , 0                   , 0             , 1              , 0                        , 0                 , 2                      , 1                    , 0                             , 0                    , 2                 , 0                    , 0                      , 0                      , 0                     , 0                 , 0                     , 0       , 0                        , 0              , 0                   , 0                 , 0                   , 0                      , 0                  , 0                , 0                   , 0                    , 1                 , 0          , 0                      , 0               , 0                  , 0             , 0
beta14unburned , 6              , 5                           , 5                  , 0                    , 2                        , 1                      , 2                 , 3                       , 3                 , 1                     , 5                      , 1                   , 7                  , 1                  , 0                   , 1                , 4                      , 1                    , 0                   , 0                   , 2                       , 0                  , 0                      , 0                    , 1            , 0                   , 0             , 2              , 0                        , 0                 , 2                      , 0                    , 1                             , 0                    , 0                 , 0                    , 0                      , 0                      , 0                     , 0                 , 1                     , 0       , 0                        , 0              , 0                   , 0                 , 1                   , 0                      , 0                  , 2                , 0                   , 0                    , 0                 , 0          , 0                      , 0               , 0                  , 0             , 0
beta15burned   , 6              , 13                          , 4                  , 1                    , 0                        , 22                     , 3                 , 0                       , 0                 , 4                     , 0                      , 0                   , 0                  , 0                  , 0                   , 0                , 0                      , 2                    , 0                   , 0                   , 0                       , 1                  , 3                      , 0                    , 1            , 0                   , 0             , 0              , 0                        , 0                 , 0                      , 0                    , 0                             , 0                    , 0                 , 0                    , 0                      , 0                      , 0                     , 0                 , 0                     , 0       , 0                        , 0              , 0                   , 0                 , 0                   , 0                      , 0                  , 0                , 0                   , 0                    , 0                 , 0          , 0                      , 0               , 0                  , 0             , 0
beta15unburned , 12             , 9                           , 3                  , 0                    , 4                        , 11                     , 3                 , 0                       , 0                 , 0                     , 0                      , 0                   , 1                  , 7                  , 2                   , 0                , 2                      , 0                    , 1                   , 0                   , 1                       , 0                  , 0                      , 0                    , 0            , 1                   , 0             , 0              , 0                        , 1                 , 0                      , 0                    , 1                             , 0                    , 0                 , 0                    , 0                      , 0                      , 1                     , 0                 , 0                     , 0       , 0                        , 0              , 0                   , 0                 , 0                   , 0                      , 0                  , 0                , 0                   , 0                    , 0                 , 0          , 0                      , 0               , 0                  , 0             , 0
beta16burned   , 8              , 9                           , 2                  , 1                    , 12                       , 17                     , 0                 , 0                       , 0                 , 0                     , 1                      , 0                   , 0                  , 3                  , 0                   , 0                , 0                      , 4                    , 1                   , 0                   , 0                       , 0                  , 0                      , 0                    , 0            , 1                   , 0             , 0              , 0                        , 0                 , 0                      , 0                    , 1                             , 0                    , 0                 , 0                    , 0                      , 0                      , 0                     , 0                 , 0                     , 0       , 0                        , 0              , 0                   , 0                 , 0                   , 0                      , 0                  , 0                , 0                   , 0                    , 0                 , 0          , 0                      , 0               , 0                  , 0             , 0
beta16unburned , 13             , 7                           , 2                  , 8                    , 7                        , 4                      , 1                 , 0                       , 0                 , 0                     , 1                      , 0                   , 1                  , 4                  , 0                   , 0                , 0                      , 7                    , 0                   , 1                   , 0                       , 0                  , 0                      , 0                    , 0            , 0                   , 0             , 0              , 0                        , 1                 , 0                      , 0                    , 1                             , 1                    , 0                 , 0                    , 0                      , 0                      , 0                     , 0                 , 0                     , 0       , 0                        , 0              , 0                   , 0                 , 0                   , 0                      , 1                  , 0                , 0                   , 0                    , 0                 , 0          , 0                      , 0               , 0                  , 0             , 0
beta17burned   , 5              , 8                           , 1                  , 3                    , 6                        , 15                     , 1                 , 0                       , 0                 , 2                     , 0                      , 0                   , 1                  , 0                  , 1                   , 0                , 0                      , 0                    , 1                   , 1                   , 0                       , 0                  , 0                      , 0                    , 0            , 2                   , 2             , 0              , 0                        , 0                 , 0                      , 3                    , 1                             , 1                    , 2                 , 0                    , 2                      , 0                      , 1                     , 1                 , 0                     , 0       , 0                        , 0              , 0                   , 0                 , 0                   , 0                      , 0                  , 0                , 0                   , 0                    , 0                 , 0          , 0                      , 0               , 0                  , 0             , 0
beta17unburned , 2              , 15                          , 4                  , 2                    , 8                        , 7                      , 1                 , 0                       , 0                 , 0                     , 4                      , 0                   , 1                  , 1                  , 2                   , 0                , 1                      , 0                    , 3                   , 0                   , 1                       , 0                  , 0                      , 0                    , 0            , 0                   , 1             , 0              , 0                        , 2                 , 0                      , 0                    , 2                             , 0                    , 0                 , 0                    , 0                      , 2                      , 1                     , 0                 , 0                     , 0       , 0                        , 0              , 0                   , 0                 , 0                   , 0                      , 0                  , 0                , 0                   , 0                    , 0                 , 0          , 0                      , 0               , 0                  , 0             , 0
beta18burned   , 2              , 10                          , 7                  , 1                    , 3                        , 6                      , 8                 , 0                       , 0                 , 1                     , 0                      , 1                   , 0                  , 3                  , 0                   , 0                , 0                      , 6                    , 4                   , 0                   , 0                       , 0                  , 0                      , 0                    , 0            , 1                   , 2             , 3              , 0                        , 0                 , 0                      , 0                    , 0                             , 0                    , 0                 , 0                    , 0                      , 1                      , 1                     , 0                 , 0                     , 0       , 0                        , 0              , 0                   , 0                 , 0                   , 0                      , 0                  , 0                , 0                   , 0                    , 0                 , 0          , 0                      , 0               , 0                  , 0             , 0
beta18unburned , 9              , 10                          , 3                  , 5                    , 3                        , 1                      , 2                 , 3                       , 0                 , 1                     , 0                      , 0                   , 0                  , 2                  , 1                   , 8                , 0                      , 0                    , 2                   , 4                   , 0                       , 0                  , 0                      , 0                    , 0            , 0                   , 1             , 0              , 0                        , 1                 , 0                      , 0                    , 0                             , 0                    , 0                 , 0                    , 0                      , 0                      , 0                     , 0                 , 0                     , 0       , 0                        , 0              , 0                   , 0                 , 0                   , 0                      , 0                  , 0                , 0                   , 2                    , 0                 , 1          , 0                      , 0               , 0                  , 0             , 1
beta19burned   , 8              , 7                           , 8                  , 2                    , 5                        , 1                      , 9                 , 0                       , 1                 , 3                     , 1                      , 0                   , 0                  , 7                  , 0                   , 0                , 0                      , 0                    , 5                   , 2                   , 0                       , 0                  , 0                      , 0                    , 0            , 0                   , 1             , 0              , 0                        , 0                 , 0                      , 0                    , 0                             , 0                    , 0                 , 0                    , 0                      , 0                      , 0                     , 0                 , 0                     , 0       , 0                        , 0              , 0                   , 0                 , 0                   , 0                      , 0                  , 0                , 0                   , 0                    , 0                 , 0          , 0                      , 0               , 0                  , 0             , 0
beta19unburned , 2              , 6                           , 2                  , 0                    , 5                        , 1                      , 20                , 0                       , 0                 , 3                     , 0                      , 0                   , 0                  , 6                  , 0                   , 2                , 0                      , 0                    , 6                   , 3                   , 0                       , 0                  , 0                      , 1                    , 0            , 1                   , 1             , 0              , 0                        , 0                 , 0                      , 0                    , 0                             , 0                    , 0                 , 1                    , 0                      , 0                      , 0                     , 0                 , 0                     , 0       , 0                        , 0              , 0                   , 0                 , 0                   , 0                      , 0                  , 0                , 0                   , 0                    , 0                 , 0          , 0                      , 0               , 0                  , 0             , 0
beta20burned   , 9              , 2                           , 17                 , 7                    , 12                       , 1                      , 5                 , 0                       , 1                 , 0                     , 0                      , 0                   , 0                  , 1                  , 0                   , 0                , 0                      , 0                    , 0                   , 1                   , 0                       , 0                  , 0                      , 1                    , 0            , 1                   , 0             , 1              , 0                        , 1                 , 0                      , 0                    , 0                             , 0                    , 0                 , 0                    , 0                      , 0                      , 0                     , 0                 , 0                     , 0       , 0                        , 0              , 0                   , 0                 , 0                   , 0                      , 0                  , 0                , 0                   , 0                    , 0                 , 0          , 0                      , 0               , 0                  , 0             , 0
beta20unburned , 7              , 4                           , 12                 , 0                    , 8                        , 0                      , 6                 , 0                       , 6                 , 0                     , 0                      , 1                   , 0                  , 0                  , 0                   , 0                , 0                      , 0                    , 2                   , 3                   , 0                       , 0                  , 0                      , 5                    , 0            , 1                   , 0             , 0              , 0                        , 3                 , 0                      , 0                    , 1                             , 0                    , 0                 , 0                    , 1                      , 0                      , 0                     , 0                 , 0                     , 0       , 0                        , 0              , 0                   , 0                 , 0                   , 0                      , 0                  , 0                , 0                   , 0                    , 0                 , 0          , 0                      , 0               , 0                  , 0             , 0
