species,burned,unburned
Agonandra brasiliensis Miers ex Benth. & Hook.f.,0,2
Anadenanthera peregrina var. falcata (Benth.) Altschul,44,38
Annona crassiflora Mart.,35,30
Aspidosperma tomentosum Mart. & Zucc.,2,16
Bowdichia virgilioides Kunth,0,1
Byrsonima coccolobifolia Kunth,7,3
Caryocar brasiliense Cambess.,0,5
Casearia sylvestris Sw.,6,13
Connarus suberosus Planch.,23,42
Cybistax antisyphilitica (Mart.) Mart.,1,2
Davilla elliptica A.St.-Hil.,1,9
Didymopanax macrocarpus (Cham. & Schltdl.) Seem.,1,3
Didymopanax vinosus (Cham. & Schltdl.) Marchal,0,1
Dimorphandra mollis Benth.,8,5
Diospyros lasiocalyx (Mart.) B.Walln.,38,59
Eremanthus glomerulatus Less.,32,63
Eriotheca gracilipes (K.Schum.) A.Robyns,4,10
Eriotheca pubescens (Mart. & Zucc.) Schott & Endl.,13,17
Erythroxylum engleri O.E.Schulz,20,15
Erythroxylum suberosum A.St.-Hil.,21,22
Erythroxylum tortuosum Mart.,2,8
Eugenia aurata O.Berg,0,3
Eugenia punicifolia (Kunth) DC.,1,2
Guapira noxia (Netto) Lundell,8,4
Hancornia speciosa Gomes,1,1
Handroanthus ochraceus (Cham.) Mattos,22,60
Himatanthus obovatus (MÃ¼ll. Arg.) Woodson,5,3
Hymenaea stigonocarpa Mart. ex Hayne,2,2
Kielmeyera coriacea Mart. & Zucc.,36,37
Kielmeyera grandiflora (Wawra) Saddi,3,2
Lafoensia pacari A.St.-Hil.,0,2
Leptolobium dasycarpum Vogel,81,42
Machaerium acutifolium Vogel,1,4
Miconia albicans (Sw.) Triana,0,45
Miconia ferruginata DC.,0,2
Miconia ligustroides (DC.) Naudin,0,2
Myrcia bella Cambess.,9,5
Myrcia camapuanensis N.Silveira,6,4
Myrcia guianensis (Aubl.) DC.,6,1
Myrcia variabilis DC.,2,1
Ouratea hexasperma (A.St.-Hil.) Baill.,7,10
Ouratea spectabilis (Mart.) Engl.,29,31
Palicourea rigida Kunth,61,26
Piptocarpha rotundifolia (Less.) Baker,84,63
Plathymenia reticulata Benth.,12,4
Plenckia populnea Reissek,1,1
Pouteria ramiflora (Mart.) Radlk.,153,90
Pouteria torta (Mart.) Radlk.,151,136
Psidium laruotteanum Cambess.,104,118
Pterodon pubescens (Benth.) Benth.,0,1
Qualea parviflora Mart.,2,2
Rourea induta Planch.,1,0
Solanum sp.,2,2
Sp 1,0,1
Sp 2,0,1
Stryphnodendron adstringens (Mart.) Coville,141,114
Stryphnodendron rotundifolium Mart.,2,8
Tabebuia aurea (Silva Manso) Benth. & Hook.f. ex S.Moore,8,4
Vochysia cinnamomea Pohl,1,2
