id,scientific.name,accepted.name,family,taxon.rank,taxon.status,search.str,threat.status,notes,original.search
14518,Pouteria torta (Mart.) Radlk.,NA,Sapotaceae,species,accepted,Pouteria torta,LC,,Pouteria torta
19133,Stryphnodendron adstringens (Mart.) Coville,NA,Fabaceae,species,accepted,Stryphnodendron adstringens,LC,,Stryphnodendron adstringens
21020,Pouteria ramiflora (Mart.) Radlk.,NA,Sapotaceae,species,accepted,Pouteria ramiflora,NA,,Pouteria ramiflora
10871,Psidium laruotteanum Cambess.,NA,Myrtaceae,species,accepted,Psidium laruotteanum,NA,,Psidium laruotteanum
16244,Piptocarpha rotundifolia (Less.) Baker,NA,Asteraceae,species,accepted,Piptocarpha rotundifolia,NA,,Piptocarpha rotundifolia
101103,Leptolobium dasycarpum Vogel,NA,Fabaceae,species,accepted,Leptolobium dasycarpum,NA,,Leptolobium dasycarpum
604323,Diospyros lasiocalyx (Mart.) B.Walln.,NA,Ebenaceae,species,accepted,Diospyros lasiocalyx,LC,replaced synonym,Diospyros hispida
80635,Eremanthus glomerulatus Less.,NA,Asteraceae,species,accepted,Eremanthus glomerulatus,NA,,Eremanthus glomerulatus
20795,Palicourea rigida Kunth,NA,Rubiaceae,species,accepted,Palicourea rigida,NA,,Palicourea rigida
18075,Anadenanthera peregrina var. falcata (Benth.) Altschul,NA,Fabaceae,variety,accepted,Anadenanthera peregrina var. falcata,NA,replaced synonym,Anadenanthera falcata
114091,Handroanthus ochraceus (Cham.) Mattos,NA,Bignoniaceae,species,accepted,Handroanthus ochraceus,NA,,Handroanthus ochraceus
6860,Kielmeyera coriacea Mart. & Zucc.,NA,Calophyllaceae,species,accepted,Kielmeyera coriacea,NA,,Kielmeyera coriacea
117092,Annona crassiflora Mart.,NA,Annonaceae,species,accepted,Annona crassiflora,NA,,Annona crassiflora
16932,Connarus suberosus Planch.,NA,Connaraceae,species,accepted,Connarus suberosus,NA,,Connarus suberosus
31722,Ouratea spectabilis (Mart.) Engl.,NA,Ochnaceae,species,accepted,Ouratea spectabilis,LC,,Ouratea spectabilis
9668,Miconia albicans (Sw.) Triana,NA,Melastomataceae,species,accepted,Miconia albicans,NA,,Miconia albicans
17434,Erythroxylum suberosum A.St.-Hil.,NA,Erythroxylaceae,species,accepted,Erythroxylum suberosum,NA,,Erythroxylum suberosum
17420,Erythroxylum engleri O.E.Schulz,NA,Erythroxylaceae,species,accepted,Erythroxylum engleri,NA,,Erythroxylum engleri
27559,Eriotheca pubescens (Mart. & Zucc.) Schott & Endl.,NA,Malvaceae,species,accepted,Eriotheca pubescens,LC,,Eriotheca pubescens
14384,Casearia sylvestris Sw.,NA,Salicaceae,species,accepted,Casearia sylvestris,NA,,Casearia sylvestris
15554,Aspidosperma tomentosum Mart. & Zucc.,NA,Apocynaceae,species,accepted,Aspidosperma tomentosum,LC,,Aspidosperma tomentosum
19928,Ouratea hexasperma (A.St.-Hil.) Baill.,NA,Ochnaceae,species,accepted,Ouratea hexasperma,NA,,Ouratea hexasperma
83636,Plathymenia reticulata Benth.,NA,Fabaceae,species,accepted,Plathymenia reticulata,LC,,Plathymenia reticulata
25739,Eriotheca gracilipes (K.Schum.) A.Robyns,NA,Malvaceae,species,accepted,Eriotheca gracilipes,NA,,Eriotheca gracilipes
31542,Myrcia bella Cambess.,NA,Myrtaceae,species,accepted,Myrcia bella,NA,,Myrcia bella
83086,Dimorphandra mollis Benth.,NA,Fabaceae,species,accepted,Dimorphandra mollis,NA,,Dimorphandra mollis
19908,Guapira noxia (Netto) Lundell,NA,Nyctaginaceae,species,accepted,Guapira noxia,NA,,Guapira noxia
114257,Tabebuia aurea (Silva Manso) Benth. & Hook.f. ex S.Moore,NA,Bignoniaceae,species,accepted,Tabebuia aurea,NA,,Tabebuia aurea
8831,Byrsonima coccolobifolia Kunth,NA,Malpighiaceae,species,accepted,Byrsonima coccolobifolia,LC,,Byrsonima coccolobifolia
17279,Davilla elliptica A.St.-Hil.,NA,Dilleniaceae,species,accepted,Davilla elliptica,NA,,Davilla elliptica
25454,Erythroxylum tortuosum Mart.,NA,Erythroxylaceae,species,accepted,Erythroxylum tortuosum,NA,,Erythroxylum tortuosum
31546,Myrcia camapuanensis N.Silveira,NA,Myrtaceae,species,accepted,Myrcia camapuanensis,NA,,Myrcia camapuanensis
83743,Stryphnodendron rotundifolium Mart.,NA,Fabaceae,species,accepted,Stryphnodendron rotundifolium,NA,,Stryphnodendron rotundifolium
15563,Himatanthus obovatus (MÃ¼ll. Arg.) Woodson,NA,Apocynaceae,species,accepted,Himatanthus obovatus,NA,,Himatanthus obovatus
10699,Myrcia guianensis (Aubl.) DC.,NA,Myrtaceae,species,accepted,Myrcia guianensis,LC,,Myrcia guianensis
6688,Caryocar brasiliense Cambess.,NA,Caryocaraceae,species,accepted,Caryocar brasiliense,LC,,Caryocar brasiliense
6866,Kielmeyera grandiflora (Wawra) Saddi,NA,Calophyllaceae,species,accepted,Kielmeyera grandiflora,NA,,Kielmeyera grandiflora
29759,Machaerium acutifolium Vogel,NA,Fabaceae,species,accepted,Machaerium acutifolium,NA,,Machaerium acutifolium
83206,Hymenaea stigonocarpa Mart. ex Hayne,NA,Fabaceae,species,accepted,Hymenaea stigonocarpa,NA,,Hymenaea stigonocarpa
15294,Qualea parviflora Mart.,NA,Vochysiaceae,species,accepted,Qualea parviflora,NA,,Qualea parviflora
43260,Didymopanax macrocarpus (Cham. & Schltdl.) Seem.,NA,Araliaceae,species,accepted,Didymopanax macrocarpus,NA,replaced synonym,Schefflera macrocarpa
14716,Solanum L.,NA,Solanaceae,genus,accepted,Solanum,NA,,Solanum
114028,Cybistax antisyphilitica (Mart.) Mart.,NA,Bignoniaceae,species,accepted,Cybistax antisyphilitica,NA,,Cybistax antisyphilitica
25827,Eugenia aurata O.Berg,NA,Myrtaceae,species,accepted,Eugenia aurata,LC,,Eugenia aurata
10515,Eugenia punicifolia (Kunth) DC.,NA,Myrtaceae,species,accepted,Eugenia punicifolia,NA,,Eugenia punicifolia
10774,Myrcia variabilis DC.,NA,Myrtaceae,species,accepted,Myrcia variabilis,LC,,Myrcia variabilis
15300,Vochysia cinnamomea Pohl,NA,Vochysiaceae,species,accepted,Vochysia cinnamomea,NA,,Vochysia cinnamomea
19966,Agonandra brasiliensis Miers ex Benth. & Hook.f.,NA,Opiliaceae,species,accepted,Agonandra brasiliensis,NA,,Agonandra brasiliensis
15558,Hancornia speciosa Gomes,NA,Apocynaceae,species,accepted,Hancornia speciosa,NA,,Hancornia speciosa
8784,Lafoensia pacari A.St.-Hil.,NA,Lythraceae,species,accepted,Lafoensia pacari,LC,,Lafoensia pacari
19660,Miconia ferruginata DC.,NA,Melastomataceae,species,accepted,Miconia ferruginata,NA,,Miconia ferruginata
9726,Miconia ligustroides (DC.) Naudin,NA,Melastomataceae,species,accepted,Miconia ligustroides,NA,,Miconia ligustroides
6783,Plenckia populnea Reissek,NA,Celastraceae,species,accepted,Plenckia populnea,NA,,Plenckia populnea
55,Asteraceae Bercht. & J.Presl,NA,Asteraceae,family,accepted,Asteraceae,NA,,Asteraceae
29489,Bowdichia virgilioides Kunth,NA,Fabaceae,species,accepted,Bowdichia virgilioides,NT,,Bowdichia virgilioides
NA,NA,NA,NA,NA,NA,NA,NA,not found,Cipo escandente
29843,Pterodon pubescens (Benth.) Benth.,NA,Fabaceae,species,accepted,Pterodon pubescens,NA,,Pterodon pubescens
16938,Rourea induta Planch.,NA,Connaraceae,species,accepted,Rourea induta,NA,,Rourea induta
43285,Didymopanax vinosus (Cham. & Schltdl.) Marchal,NA,Araliaceae,species,accepted,Didymopanax vinosus,NA,replaced synonym,Schefflera vinosa
